,Name,Type,Area,Neighborhood,Address,Lat,Long,Price,Comida_rating,Servicio_rating,Ambiente_rating,Votes,Menu_ejecutivo,Acceso_discapacitados,Estacionamientos,Kosher,Wifi,Domicilio,Dog_friendly,agg_rating,text
11,Palettamerica (San Francisco) ,['Internacional'],Panamá,San Francisco,"Calle 71, con Calle los Fundadores",8.9897510896696,-79.507656942358,5,4.7,4.5,4.3,154,0,1,0,0,0,0,0,13.5,Palettamerica (San Francisco)  (154 Check-ins)<br>Price: $5.<br>Rating: 13.5/15.
187,Rass (Casco Antiguo) ,['Internacional'],Panamá,Casco Antiguo,"Calle 8 Este, Casa Morales",8.9530981896461,-79.535634139951,5,3.7,3.5,3.4,138,0,0,0,0,0,0,0,10.6,Rass (Casco Antiguo)  (138 Check-ins)<br>Price: $5.<br>Rating: 10.6/15.
149,La Michoacana (El Dorado) ,['Internacional'],Panamá,El Dorado/Bethania,Dorado Plaza Acuarela,9.005682683426802,-79.540295238692,5,4.3,4.0,3.6,143,0,1,1,0,0,0,0,11.9,La Michoacana (El Dorado)  (143 Check-ins)<br>Price: $5.<br>Rating: 11.9/15.
77,Cocowao ,,Panamá,Condado del Rey,"Centro Comercial Centennial Plaza. PB, local 1",9.029738129895,-79.530402423665,6,4.3,4.4,4.5,124,0,1,1,0,0,0,0,13.2,Cocowao  (124 Check-ins)<br>Price: $6.<br>Rating: 13.2/15.
19,Gut ,['Internacional'],Panamá,San Francisco,Final de Calle 50 con Cincuentenario,8.994192170016099,-79.498571008444,6,4.6,4.5,4.2,240,0,1,0,0,0,0,0,13.3,Gut  (240 Check-ins)<br>Price: $6.<br>Rating: 13.3/15.
161,La Michoacana (San Francisco) ,['Internacional'],Panamá,San Francisco,"Calle 74, Via Israel",8.990591290839902,-79.504858159924,6,4.2,3.9,3.7,160,0,1,1,0,0,0,0,11.8,La Michoacana (San Francisco)  (160 Check-ins)<br>Price: $6.<br>Rating: 11.8/15.
78,Gelarti (Condado del Rey) ,['Internacional'],Panamá,Condado del Rey,Plaza Green Park,9.028509383421198,-79.52500686049501,6,4.3,3.5,3.9,116,0,0,0,0,0,0,0,11.7,Gelarti (Condado del Rey)  (116 Check-ins)<br>Price: $6.<br>Rating: 11.7/15.
52,Gelarti (Costa del Este) ,['Pastelería'],Panamá,Costa del Este,Av. Costa Del Mar,9.011574091018598,-79.464781517444,6,4.4,4.1,4.3,148,0,0,0,0,0,0,0,12.8,Gelarti (Costa del Este)  (148 Check-ins)<br>Price: $6.<br>Rating: 12.8/15.
50,Gelarti (Multiplaza) ,['Internacional'],Panamá,Paitilla/Punta Pacifica,"Via Irael, Food Court Multiplaza Pacific",8.9846820449259,-79.50999725449199,6,4.4,3.8,3.6,167,0,1,1,0,0,0,0,11.799999999999999,Gelarti (Multiplaza)  (167 Check-ins)<br>Price: $6.<br>Rating: 11.8/15.
10,Granclement ,['Internacional'],Panamá,Casco Antiguo,Calle 3era Oeste,8.9521614364262,-79.533687829971,6,4.7,3.8,3.7,251,0,0,0,0,1,0,0,12.2,Granclement  (251 Check-ins)<br>Price: $6.<br>Rating: 12.2/15.
9,Helados Keene's (San Francisco) ,['Heladería'],Panamá,San Francisco,"Calle 67, Frente al Clean and Clean",8.9931659897385,-79.511886835099,6,4.7,4.6,4.0,265,0,0,0,0,0,1,0,13.3,Helados Keene's (San Francisco)  (265 Check-ins)<br>Price: $6.<br>Rating: 13.3/15.
141,Paleta House (Punta Pacifica) ,['Italiana'],Panamá,Paitilla/Punta Pacifica,"Calle Punta Darién, Torres de Las Américas, Planta Baja, Local 21",8.9828709110122,-79.509483569311,6,4.4,4.1,4.0,172,0,1,1,0,1,0,0,12.5,Paleta House (Punta Pacifica)  (172 Check-ins)<br>Price: $6.<br>Rating: 12.5/15.
82,La Michoacana (Casco Antiguo) ,['Internacional'],Panamá,Casco Antiguo,"Avenida B, Edificio Casa del Horno, local 1",8.9531625745773,-79.535462936107,6,4.2,4.0,3.7,283,0,1,0,0,0,0,0,11.899999999999999,La Michoacana (Casco Antiguo)  (283 Check-ins)<br>Price: $6.<br>Rating: 11.9/15.
29,Fragola ,['Heladería'],Panamá,San Francisco,"Plaza Spot 74, en Calle 74 y Calle 50",8.9916706375248,-79.505752092065,6,4.5,4.5,3.5,215,0,0,1,0,0,0,0,12.5,Fragola  (215 Check-ins)<br>Price: $6.<br>Rating: 12.5/15.
126,Ilgelato ,"['Italiana', 'Heladería']",Panamá,San Francisco,"Calle 77, Bajando por Banistmo",8.992088,-79.501837,6,4.6,4.4,4.1,308,0,1,1,0,1,0,0,13.1,Ilgelato  (308 Check-ins)<br>Price: $6.<br>Rating: 13.1/15.
131,Palettamerica (Casco Antiguo) ,['Internacional'],Panamá,Casco Antiguo,Calle 8va frente a Tántalo,8.9531740686379,-79.536826890178,6,4.5,4.2,3.8,231,0,1,0,0,1,0,0,12.5,Palettamerica (Casco Antiguo)  (231 Check-ins)<br>Price: $6.<br>Rating: 12.5/15.
134,La Michoacana (Albrook Mall) ,['Internacional'],Panamá,Albrook/Clayton,"Albrook Mall. Pasillo del gorila, área de Magic Zone",8.9766678242906,-79.552443511784,6,4.5,4.2,3.9,90,0,1,1,0,0,0,0,12.6,La Michoacana (Albrook Mall)  (90 Check-ins)<br>Price: $6.<br>Rating: 12.6/15.
30,The Cookie Jaar (Midtown Plaza) ,['Internacional'],Panamá,San Francisco,"Calle 66, Midtown Plaza",8.9913380118704,-79.512117505074,7,4.5,4.3,4.5,214,0,1,1,0,1,1,0,13.3,The Cookie Jaar (Midtown Plaza)  (214 Check-ins)<br>Price: $7.<br>Rating: 13.3/15.
129,Yogen Fruz (Calle 50) ,['Internacional'],Panamá,San Francisco,"Calle 50 con 67, Plaza los Portales",8.990270362556801,-79.511189460754,7,4.6,4.2,3.8,114,0,0,1,1,1,0,0,12.600000000000001,Yogen Fruz (Calle 50)  (114 Check-ins)<br>Price: $7.<br>Rating: 12.6/15.
128,Pinkberry (Balboa Boutiques) ,['Internacional'],Panamá,Marbella/Area Bancaria,"Ave. Balboa, CC Balboa Boutiques, Planta Baja",8.9758548,-79.5208598,7,4.6,4.0,3.9,145,0,1,1,1,1,1,0,12.5,Pinkberry (Balboa Boutiques)  (145 Check-ins)<br>Price: $7.<br>Rating: 12.5/15.
23,Nelados (Costa del Este) ,['Heladería'],Panamá,Costa del Este,"Avenida Centenario, Plaza 770",9.0157420795056,-79.473207369447,7,4.6,4.7,4.3,190,0,1,1,0,0,0,0,13.600000000000001,Nelados (Costa del Este)  (190 Check-ins)<br>Price: $7.<br>Rating: 13.6/15.
31,Royale Cookie Bar ,['Americana'],Panamá,Casco Antiguo,Av. Central frente al Teatro Amador,8.9532015565674,-79.538087148219,7,4.5,4.4,4.2,186,0,0,0,0,1,1,0,13.100000000000001,Royale Cookie Bar  (186 Check-ins)<br>Price: $7.<br>Rating: 13.1/15.
41,Cinnabon (Multiplaza Mall) ,['Internacional'],Panamá,Paitilla/Punta Pacifica,"Vía Israel, Mall Multiplaza Pacific, 3er piso",8.9855271665937,-79.51103925705,8,4.5,3.8,3.6,82,0,0,1,0,0,0,0,11.9,Cinnabon (Multiplaza Mall)  (82 Check-ins)<br>Price: $8.<br>Rating: 11.9/15.
53,Kotowa (Centennial Mall) ,['Gourmet'],Panamá,Condado del Rey,"Centennial Mall, Altos de Panama",9.0310712226711,-79.532026022716,8,4.4,4.2,4.4,138,0,1,1,0,1,0,0,13.000000000000002,Kotowa (Centennial Mall)  (138 Check-ins)<br>Price: $8.<br>Rating: 13.0/15.
38,Churromania (Altaplaza Mall) ,['Internacional'],Panamá,Condado del Rey,"Via Centenario, Mall Altaplaza",9.029848107921,-79.534383527935,8,4.5,4.1,3.7,104,0,1,1,0,0,0,0,12.3,Churromania (Altaplaza Mall)  (104 Check-ins)<br>Price: $8.<br>Rating: 12.3/15.
127,Palettamerica (Obarrio) ,['Internacional'],Panamá,Obarrio,"Avenida Samuel Lewis, con Calle 59 Este. Plaza Donwtown Obarrio",8.9882913615845,-79.518093466759,8,4.6,4.4,4.0,204,0,1,0,0,1,0,0,13.0,Palettamerica (Obarrio)  (204 Check-ins)<br>Price: $8.<br>Rating: 13.0/15.
22,Krispy Kreme (Multiplaza) ,['Internacional'],Panamá,Paitilla/Punta Pacifica,"Vía Israel, Multiplaza Mall",8.985376819214599,-79.510253369808,8,4.6,4.0,3.7,202,0,0,0,0,0,0,0,12.3,Krispy Kreme (Multiplaza)  (202 Check-ins)<br>Price: $8.<br>Rating: 12.3/15.
3,Gelato & Co ,"['Italiana', 'Heladería']",Panamá,Obarrio,"Calle 55, ph SL 55 local 2, (Calle de Sushi itto) a un lado de Banco Panamá",8.986003548651599,-79.520909464045,8,4.8,4.7,4.6,640,0,1,1,0,1,1,1,14.1,Gelato & Co  (640 Check-ins)<br>Price: $8.<br>Rating: 14.1/15.
57,Dairy Queen (Multiplaza) ,['Americana'],Panamá,Paitilla/Punta Pacifica,"Via Israel, Multiplaza Mall, nivel 3",8.9834484595239,-79.51096884906299,8,4.4,3.9,3.4,117,0,1,1,0,0,0,0,11.700000000000001,Dairy Queen (Multiplaza)  (117 Check-ins)<br>Price: $8.<br>Rating: 11.7/15.
12,Moocha ,,Panamá,Condado del Rey,Plaza Centennial Center. PB Local 112,9.031883491262699,-79.532742994172,8,4.7,4.6,4.4,127,0,1,1,0,0,0,0,13.700000000000001,Moocha  (127 Check-ins)<br>Price: $8.<br>Rating: 13.7/15.
173,Subway (Costa del Este) ,['Americana'],Panamá,Costa del Este,"Avenida de La Rotonda, Downtown Plaza",9.008768332282,-79.477644078434,8,4.0,3.5,3.3,84,0,1,1,0,0,0,0,10.8,Subway (Costa del Este)  (84 Check-ins)<br>Price: $8.<br>Rating: 10.8/15.
155,La Luncheria ,"['Latinoamericana', 'Panameña']",Panamá,Marbella/Area Bancaria,"Calle 53, Galerías Mar Plaza, Local 5. Marbella",8.9796293298827,-79.519249498844,8,4.3,4.3,3.9,96,1,0,1,0,1,1,0,12.5,La Luncheria  (96 Check-ins)<br>Price: $8.<br>Rating: 12.5/15.
87,Cali Aji ,['Colombiana'],Panamá,El Carmen/El Cangrejo,Calle 1C Norte. Casa Nro. 94. Detras de La Caja de Ahorros de Via España,8.9910770606539,-79.522532857955,9,4.2,3.3,3.2,108,0,0,0,0,0,0,0,10.7,Cali Aji  (108 Check-ins)<br>Price: $9.<br>Rating: 10.7/15.
171,Little Ceasar (Condado del Rey) ,"['Italiana', 'Pizzeria']",Panamá,Condado del Rey,Avenida Condado del Rey,9.028085800000001,-79.524107,9,4.0,3.8,3.0,129,0,1,1,0,1,0,0,10.8,Little Ceasar (Condado del Rey)  (129 Check-ins)<br>Price: $9.<br>Rating: 10.8/15.
98,Juan Valdez Cafe (Multiplaza) ,['Internacional'],Panamá,Paitilla/Punta Pacifica,"Via Israel, Mall Multiplaza",8.983520984314099,-79.510886371136,9,4.1,3.8,3.7,101,0,1,1,0,0,0,0,11.6,Juan Valdez Cafe (Multiplaza)  (101 Check-ins)<br>Price: $9.<br>Rating: 11.6/15.
33,Loving Hut ,"['Vegetariana', 'Vegana']",Panamá,Marbella/Area Bancaria,"Calle Manuel Espinosa Batista, edificio Cali, PB",8.984603,-79.530198,9,4.5,4.1,3.6,174,0,0,0,0,0,0,0,12.2,Loving Hut  (174 Check-ins)<br>Price: $9.<br>Rating: 12.2/15.
84,Kotowa (Albrook) ,['Gourmet'],Panamá,Albrook/Clayton,"Plaza Albrook Village, a un costado de Banco General y National Car Rental, frente al Aeropuerto de Albrook",8.969031302912,-79.560952484608,9,4.2,4.2,4.0,145,0,1,1,0,1,0,0,12.4,Kotowa (Albrook)  (145 Check-ins)<br>Price: $9.<br>Rating: 12.4/15.
109,Popeyes (Transistmica) ,['Americana'],Panamá,El Dorado/Bethania,"Urbanización Los Angeles, al lado de la gasolinera Texaco.",8.997238900000001,-79.5308371,9,4.0,3.5,3.3,89,0,1,0,0,0,0,0,10.8,Popeyes (Transistmica)  (89 Check-ins)<br>Price: $9.<br>Rating: 10.8/15.
143,Cinnabon ,['Internacional'],Panamá,Albrook/Clayton,Avenida Omar Torrijos. Detras del Power Club,8.970000309507999,-79.561851010034,9,4.4,3.7,3.4,89,0,1,1,0,0,0,0,11.500000000000002,Cinnabon  (89 Check-ins)<br>Price: $9.<br>Rating: 11.5/15.
112,Duran Coffee Store  (Multiplaza) ,"['Pastelería', 'Panameña']",Panamá,San Francisco,"Via Israel, C. C. Multiplaza piso 1, entre DoIt Center y Panafoto",8.9862673119228,-79.510610103607,9,3.9,3.7,3.6,121,0,1,1,0,0,0,0,11.2,Duran Coffee Store  (Multiplaza)  (121 Check-ins)<br>Price: $9.<br>Rating: 11.2/15.
115,Delirys (Transismica) ,['Internacional'],Panamá,El Dorado/Bethania,"Via Transistmica, Calle 64 Oeste. Riba Smith",8.9984291775537,-79.525601186508,9,3.9,3.5,3.2,84,0,1,0,0,0,1,0,10.600000000000001,Delirys (Transismica)  (84 Check-ins)<br>Price: $9.<br>Rating: 10.6/15.
58,Kotowa (Condado del Rey) ,['Internacional'],Panamá,Condado del Rey,P. H Plaza Norte. Altos de Panamá,9.041062006778999,-79.52738631516699,9,4.4,4.3,4.4,96,0,1,1,0,0,0,0,13.1,Kotowa (Condado del Rey)  (96 Check-ins)<br>Price: $9.<br>Rating: 13.1/15.
111,Niko's Café  (Super Centro El Dorado) ,"['Internacional', 'Panameña']",Panamá,El Dorado/Bethania,Super Centro El Dorado   FoodCourt,9.0093259721022,-79.536144733429,10,3.9,3.6,3.3,136,1,0,1,0,1,0,0,10.8,Niko's Café  (Super Centro El Dorado)  (136 Check-ins)<br>Price: $10.<br>Rating: 10.8/15.
116,Popeyes (Paitilla) ,['Americana'],Panamá,Paitilla/Punta Pacifica,"Edificio Centro Comercial Punta Paitilla, Via Italia, Avenida Balboa.",8.9741049,-79.5165585,10,3.9,3.2,2.8,78,0,1,0,0,0,0,0,9.899999999999999,Popeyes (Paitilla)  (78 Check-ins)<br>Price: $10.<br>Rating: 9.9/15.
119,Niko's Café (Vía Israel) ,"['Internacional', 'Panameña']",Panamá,San Francisco,Vía Israel y Calle 50,8.9884715120539,-79.511876106262,10,3.7,3.4,3.3,188,1,1,1,0,1,0,0,10.399999999999999,Niko's Café (Vía Israel)  (188 Check-ins)<br>Price: $10.<br>Rating: 10.4/15.
110,Niko's Café (El Dorado) ,"['Internacional', 'Panameña']",Panamá,El Dorado/Bethania,Calle 17B Norte,9.0093895509339,-79.536466598511,10,3.9,3.6,3.5,531,0,1,1,0,0,0,0,11.0,Niko's Café (El Dorado)  (531 Check-ins)<br>Price: $10.<br>Rating: 11.0/15.
95,New York Fries ,['Americana'],Panamá,Condado del Rey,"Centro Comercial Altaplaza Mall, Piso 2. Local 2 409",9.0293899115709,-79.534007997437,10,4.1,3.8,3.5,261,0,1,1,0,1,0,0,11.399999999999999,New York Fries  (261 Check-ins)<br>Price: $10.<br>Rating: 11.4/15.
64,Little Caesars (San Francisco) ,"['Italiana', 'Pizzeria']",Panamá,San Francisco,"Calle 50, plaza 50, local Nro 3",8.9925511011429,-79.506234973451,10,4.3,3.9,3.1,361,0,1,1,0,1,0,0,11.299999999999999,Little Caesars (San Francisco)  (361 Check-ins)<br>Price: $10.<br>Rating: 11.3/15.
40,Starbucks (Albrook Mall) ,['Americana'],Panamá,Albrook/Clayton,Afuera de Albrook Mall,8.9775739,-79.5575342,10,4.5,4.4,4.5,95,0,1,1,0,0,0,0,13.4,Starbucks (Albrook Mall)  (95 Check-ins)<br>Price: $10.<br>Rating: 13.4/15.
133,The Coffee Pot  ,['Internacional'],Panamá,Costa del Este,"Av. Boulevard Costa del Este, Plaza Galería del Este",9.016775546924,-79.463328123093,10,4.5,4.3,3.8,91,0,1,1,0,0,0,0,12.600000000000001,The Coffee Pot   (91 Check-ins)<br>Price: $10.<br>Rating: 12.6/15.
2,Venecia ,"['Pastelería', 'Internacional']",Panamá,San Francisco,"Calle 69, de calle 50 a Vía Israel, SF69 Plaza",8.990469719150301,-79.509489946067,10,4.8,4.6,4.4,718,0,1,1,0,1,0,0,13.799999999999999,Venecia  (718 Check-ins)<br>Price: $10.<br>Rating: 13.8/15.
