,Name,Neighborhood,Price,Votes,agg_rating
11,Palettamerica (San Francisco) ,San Francisco,5,154,13.5
187,Rass (Casco Antiguo) ,Casco Antiguo,5,138,10.6
149,La Michoacana (El Dorado) ,El Dorado/Bethania,5,143,11.9
77,Cocowao ,Condado del Rey,6,124,13.2
19,Gut ,San Francisco,6,240,13.3
161,La Michoacana (San Francisco) ,San Francisco,6,160,11.8
78,Gelarti (Condado del Rey) ,Condado del Rey,6,116,11.7
52,Gelarti (Costa del Este) ,Costa del Este,6,148,12.8
50,Gelarti (Multiplaza) ,Paitilla/Punta Pacifica,6,167,11.8
10,Granclement ,Casco Antiguo,6,251,12.2
9,Helados Keene's (San Francisco) ,San Francisco,6,265,13.3
141,Paleta House (Punta Pacifica) ,Paitilla/Punta Pacifica,6,172,12.5
82,La Michoacana (Casco Antiguo) ,Casco Antiguo,6,283,11.9
29,Fragola ,San Francisco,6,215,12.5
126,Ilgelato ,San Francisco,6,308,13.1
131,Palettamerica (Casco Antiguo) ,Casco Antiguo,6,231,12.5
134,La Michoacana (Albrook Mall) ,Albrook/Clayton,6,90,12.6
30,The Cookie Jaar (Midtown Plaza) ,San Francisco,7,214,13.3
129,Yogen Fruz (Calle 50) ,San Francisco,7,114,12.6
128,Pinkberry (Balboa Boutiques) ,Marbella/Area Bancaria,7,145,12.5
23,Nelados (Costa del Este) ,Costa del Este,7,190,13.6
31,Royale Cookie Bar ,Casco Antiguo,7,186,13.1
41,Cinnabon (Multiplaza Mall) ,Paitilla/Punta Pacifica,8,82,11.9
53,Kotowa (Centennial Mall) ,Condado del Rey,8,138,13
38,Churromania (Altaplaza Mall) ,Condado del Rey,8,104,12.3
127,Palettamerica (Obarrio) ,Obarrio,8,204,13
22,Krispy Kreme (Multiplaza) ,Paitilla/Punta Pacifica,8,202,12.3
3,Gelato & Co ,Obarrio,8,640,14.1
57,Dairy Queen (Multiplaza) ,Paitilla/Punta Pacifica,8,117,11.7
12,Moocha ,Condado del Rey,8,127,13.7
173,Subway (Costa del Este) ,Costa del Este,8,84,10.8
155,La Luncheria ,Marbella/Area Bancaria,8,96,12.5
87,Cali Aji ,El Carmen/El Cangrejo,9,108,10.7
171,Little Ceasar (Condado del Rey) ,Condado del Rey,9,129,10.8
98,Juan Valdez Cafe (Multiplaza) ,Paitilla/Punta Pacifica,9,101,11.6
33,Loving Hut ,Marbella/Area Bancaria,9,174,12.2
84,Kotowa (Albrook) ,Albrook/Clayton,9,145,12.4
109,Popeyes (Transistmica) ,El Dorado/Bethania,9,89,10.8
143,Cinnabon ,Albrook/Clayton,9,89,11.5
112,Duran Coffee Store  (Multiplaza) ,San Francisco,9,121,11.2
115,Delirys (Transismica) ,El Dorado/Bethania,9,84,10.6
58,Kotowa (Condado del Rey) ,Condado del Rey,9,96,13.1
111,Niko's Café  (Super Centro El Dorado) ,El Dorado/Bethania,10,136,10.8
116,Popeyes (Paitilla) ,Paitilla/Punta Pacifica,10,78,9.9
119,Niko's Café (Vía Israel) ,San Francisco,10,188,10.4
110,Niko's Café (El Dorado) ,El Dorado/Bethania,10,531,11
95,New York Fries ,Condado del Rey,10,261,11.4
64,Little Caesars (San Francisco) ,San Francisco,10,361,11.3
40,Starbucks (Albrook Mall) ,Albrook/Clayton,10,95,13.4
133,The Coffee Pot  ,Costa del Este,10,91,12.6
2,Venecia ,San Francisco,10,718,13.8
7,Krispy Kreme (Costa del Este) ,Costa del Este,10,622,13.1
